Card_Type_Code,Card_Type_Full_Name,Issuing_Bank,Card_Number,Card_Holders_Name,CVV_CVV2,Issue_Date,Expiry_Date,Billing_Date,Card_PIN,Credit_Limit
UP,UnionPay,U.S. Bancorp,30022816961757,Einar Stroman,790,01/2020,04/2023,13,1688,164605
JC,JCB,Japan Credit Bureau,2131165927516301,Green Dooley,681,11/2011,12/2015,8,2632,675327
DS,Discover,Discover,6375104158939177,Bill Yost,498,07/2001,02/2005,2,3061,76241
DC,Diners Club,Diners Club International,4312745936896278,Brooks Veum,784,03/2001,02/2005,19,7480,43874
EO,Elo,Wells Fargo,4850332564441020,Harold Hodkiewicz,326,05/2002,06/2005,22,2518,859535
MC,Mastercard,Bank of America,30070420005115,Elody Bins,258,01/2005,04/2008,27,5444,333579
DS,Discover,Discover,508999617246,Alexandrine Nitzsche,846,05/2019,09/2023,22,9551,796636
JC,JCB,Japan Credit Bureau,4331033747955683,Jamarcus Gorczany,136,09/2012,11/2015,21,1365,767573
MT,Maestro,Wells Fargo,358982139379201783,Fletcher Metz,538,11/2019,05/2024,23,2068,817931
DC,Diners Club,Diners Club International,4877558923048457,Dimitri OReilly,789,09/2016,02/2020,19,2374,174165
DC,Diners Club,Diners Club International,6446117120462628,Davion Gutmann,272,10/2007,01/2011,25,2934,797442
HR,Hiper,U.S. Bancorp,344291562680736,Caleigh Pacocha,661,09/2007,11/2010,10,6199,796547
HR,Hiper,Capital One,3617307063394868471,Jasen Marvin,299,06/2020,04/2025,26,1054,524514
AX,American Express,American Express,6062824888163057,Reynold Ebert,568,08/2020,04/2024,4,6376,770903
AX,American Express,American Express,6062823626984931,Gina Schowalter,520,04/2016,02/2020,3,3403,307981
EO,Elo,GE Capital,6375993288422447,Leland Kiehn,555,06/2009,04/2013,3,8246,792022
MT,Maestro,Barclays,5614264919855625609,Paige Yost,939,07/2008,06/2012,4,9448,864556
HC,Hipercard,Chase,6491110079179779612,Pierre Huels,733,01/2002,09/2006,13,6100,713843
HC,Hipercard,Wells Fargo,2234668588935476,Dimitri Legros,363,09/2010,03/2014,4,2119,688503
EO,Elo,Bank of America,67707347143142958,Jewell Williamson,7768,02/2013,01/2017,27,7333,983698
UP,UnionPay,U.S. Bancorp,6507279071272848,Gabe Abbott,289,06/2018,09/2022,11,5755,772280
MT,Maestro,Barclays,4217648574193857,Kathryn Murazik,971,02/2005,12/2008,16,3114,188700
AX,American Express,American Express,2231530759947727,Marcelina Tremblay,267,02/2017,08/2021,24,2448,540792
VI,Visa,U.S. Bancorp,6505385113357372,Scottie Fisher,877,10/2012,02/2016,26,7212,465408
UP,UnionPay,Chase,6376095778338759,Kelsi Howe,1722,11/2019,12/2023,16,6602,847198
DS,Discover,Discover,6558667626807276289,Cedrick Berge,669,08/2004,02/2008,13,5232,892714
MT,Maestro,Capital One,3866636359150461,Jo Treutel,227,03/2018,10/2021,4,5754,44952
DS,Discover,Discover,6445902556812346709,Oscar Sauer,802,03/2016,02/2020,18,1815,151773
HC,Hipercard,GE Capital,6011228716341263257,Kayleigh Cassin,6976,12/2010,04/2015,2,1371,316571
HC,Hipercard,U.S. Bancorp,2708580660381858,Ardith Blanda,698,07/2020,04/2024,22,7560,894151
UP,UnionPay,GE Capital,4589575559736527,Zander Swaniawski,501,12/2002,09/2007,2,1131,591497
HR,Hiper,Chase,5544639764985963,Norbert Witting,715,07/2008,05/2012,25,5150,355641
DS,Discover,Discover,3007781635696851,Janice Windler,301,09/2006,04/2010,3,5110,543085
AX,American Express,American Express,38283383381165,Paxton Marvin,508,07/2011,01/2015,3,8698,384127
HR,Hiper,Bank of America,6376121058387900,Tommie Grimes,922,05/2012,06/2015,6,3022,725460
MT,Maestro,Wells Fargo,6370951838308214,Yasmin Yundt,233,04/2013,01/2017,13,8612,394289
MT,Maestro,GE Capital,6504393550711029,Luis Tromp,189,04/2019,03/2024,10,8356,118806
MT,Maestro,Capital One,4030589246588626,Torrey Corkery,5877,10/2007,08/2011,18,9143,738476
MC,Mastercard,Capital One,6370959526669375,Bertram Pfeffer,469,11/2002,04/2007,17,4932,594471
JC,JCB,Japan Credit Bureau,6500513379800588,Eva Ferry,299,12/2011,09/2015,26,1961,89395
AX,American Express,American Express,4483106097169257,Marlee Gaylord,162,04/2007,04/2011,26,3230,660668
JC,JCB,Japan Credit Bureau,344230117532828,Rowena Botsford,182,05/2011,11/2014,14,2486,183140
DC,Diners Club,Diners Club International,6495119390103651336,Dixie Haag,315,07/2001,02/2006,4,3320,975413
HR,Hiper,U.S. Bancorp,4515057820655009,Anjali Eichmann,836,06/2006,07/2010,17,6626,353009
HC,Hipercard,Bank of America,6448770053268308857,Lucile Waters,338,12/2018,10/2022,25,5266,44880
MC,Mastercard,Wells Fargo,3912940004805584,Orin McCullough,814,06/2010,08/2013,12,8765,67648
MT,Maestro,Capital One,36653020213801,Anthony Mraz,9281,10/2008,03/2012,17,8839,757147
DS,Discover,Discover,627246817287800,Katelin Hyatt,664,01/2012,05/2015,23,3838,947790
MT,Maestro,Barclays,5153822833891469,Graciela VonRueden,516,06/2008,07/2011,1,9870,6228
EO,Elo,Wells Fargo,2296934814229109,Winfield Harris,149,03/2013,05/2016,4,7083,710978
VI,Visa,Wells Fargo,8104488021268599,Andres Kiehn,160,11/2006,01/2010,27,5652,265367
UP,UnionPay,Capital One,348616349992820,Reyna Jacobi,864,09/2011,08/2016,10,3872,106985
UP,UnionPay,Bank of America,4514160311546520,Piper Lesch,554,10/2012,07/2017,1,9811,472427
VI,Visa,GE Capital,5180392763899913,Demond Kautzer,209,10/2009,10/2014,17,8007,38168
JC,JCB,Japan Credit Bureau,4024067862146068,Jess Dicki,3947,02/2016,05/2019,4,9181,632958
DS,Discover,Discover,6498886516854328,Jerald Kassulke,808,04/2002,10/2006,20,7578,30024
HC,Hipercard,GE Capital,4296470411849912,Odie Kertzmann,958,01/2007,06/2011,17,5027,680387
MC,Mastercard,U.S. Bancorp,639925200607795831,Misael Collins,183,07/2009,06/2014,26,5143,299868
JC,JCB,Japan Credit Bureau,6445833897413146,Elody Muller,434,09/2020,02/2025,25,4424,634333
MT,Maestro,Capital One,3996163516948581,Jazmyne Conroy,966,10/2014,09/2018,14,1366,47102
VI,Visa,GE Capital,6062824294264051,Stanton Rogahn,828,03/2018,12/2021,12,1674,412715
HC,Hipercard,Bank of America,6306666376103158378,Jedidiah Reichert,275,05/2011,03/2016,17,7078,333333
HC,Hipercard,Capital One,6277803329557664,Berniece Willms,640,11/2012,07/2017,2,9301,973028
MC,Mastercard,Capital One,4995786752866221,Alexandre Ernser,370,08/2016,03/2020,4,6247,697838
UP,UnionPay,Wells Fargo,6062825077747220,Anne Jaskolski,315,01/2006,03/2010,19,2182,689570
DC,Diners Club,Diners Club International,6370957579982117,Terrence Ebert,439,02/2011,09/2015,26,4104,479630
HR,Hiper,Capital One,3000346167126037,Talon Schinner,858,01/2014,06/2017,26,2851,132745
AX,American Express,American Express,6498007034118500869,Nathen Klein,148,12/2008,06/2013,22,8748,617587
AX,American Express,American Express,4011792539344581,Ethan Labadie,175,06/2006,08/2010,20,9053,704747
EO,Elo,Barclays,621846953596779125,Devyn Halvorson,446,12/2002,10/2007,15,2871,374680
UP,UnionPay,GE Capital,50677936170558,Dortha Emmerich,501,05/2006,05/2011,7,7831,696404
MT,Maestro,Capital One,6495842856886530,Oda Schaefer,488,12/2008,06/2013,13,8616,801041
MC,Mastercard,Chase,36793914307440,Conor Howe,492,11/2012,02/2017,13,5598,470267
MC,Mastercard,Capital One,358945778280212839,Buck Beer,640,04/2008,06/2012,1,1796,513864
DC,Diners Club,Diners Club International,6507187069123651,Ezra Harvey,578,05/2008,03/2013,24,7023,249536
DC,Diners Club,Diners Club International,81630275246219,Shawn Murazik,993,06/2001,10/2005,8,4857,870050
UP,UnionPay,Chase,6062825191835166,Adah VonRueden,259,08/2003,09/2006,23,6856,758876
EO,Elo,Capital One,6444373662612649,Uriel Wisozk,331,02/2019,06/2023,11,1030,9483
VI,Visa,Bank of America,6062827247892845,Margarete Turner,431,03/2005,07/2008,7,9555,995959
EO,Elo,Capital One,349821712244796,Shayne Willms,975,08/2020,10/2024,21,3122,207061
HR,Hiper,Chase,6370957372734558,Jacques Bernhard,149,01/2003,10/2006,1,3797,724724
DS,Discover,Discover,371967463914219,Rowland Mraz,624,11/2009,07/2014,24,9519,306178
UP,UnionPay,Capital One,6505980182761981,Hubert Toy,197,11/2000,01/2004,16,7281,206361
MC,Mastercard,Wells Fargo,2713053291508938,Lottie Steuber,912,03/2003,04/2007,16,1974,429858
MT,Maestro,GE Capital,81521326457222924,Savion Crist,250,09/2010,04/2014,23,1905,606531
DS,Discover,Discover,3051239278995875379,Rod Bergstrom,351,11/2015,03/2019,25,6151,579187
AX,American Express,American Express,3602699337525054,Delfina Bauch,800,10/2000,07/2004,22,9846,906531
AX,American Express,American Express,6376090572547762,Cletus Rohan,961,05/2002,02/2007,8,2014,774585
MC,Mastercard,Wells Fargo,213132091197150070,Garfield Renner,497,10/2000,11/2004,4,5509,417556
VI,Visa,Capital One,5000000368749809,Larue Turner,706,10/2012,05/2016,24,9740,529044
DS,Discover,Discover,4442664403931075,Destiny Christiansen,4913,10/2008,07/2013,24,9815,927674
VI,Visa,U.S. Bancorp,36107045960029,Vicente Pagac,928,10/2010,07/2015,19,9011,719858
JC,JCB,Japan Credit Bureau,6375684523456049,Napoleon Kuhlman,7106,05/2001,04/2006,3,9442,55885
AX,American Express,American Express,3000552898064285287,Sabrina Smitham,434,06/2006,11/2010,24,7684,788762
EO,Elo,U.S. Bancorp,341950086649757,Art Schmitt,492,09/2010,04/2015,22,9671,108068
AX,American Express,American Express,6376124640605904,Marguerite Barrows,661,06/2004,08/2008,1,9692,364335
DC,Diners Club,Diners Club International,2697599534954024,Susie Ruecker,736,01/2004,08/2007,23,6058,525831
HC,Hipercard,Barclays,2230654788203679,Paula Anderson,234,11/2014,10/2019,24,9276,591100
DS,Discover,Discover,3528026792569545,Herminio Grady,2799,12/2008,06/2012,16,7942,398014
DC,Diners Club,Diners Club International,373040057356698,Tyrique Pacocha,194,09/2015,12/2019,5,5489,55194
DS,Discover,Discover,6062823121865908,Lynn Quitzon,435,10/2001,03/2006,16,2255,883399
DS,Discover,Discover,2720527571238051,Taryn Swaniawski,554,05/2011,05/2015,19,7700,706552
MC,Mastercard,Wells Fargo,6370958030308405,Laverna Willms,259,10/2004,03/2008,3,4465,535274
HR,Hiper,Bank of America,6505419243244778,Milan Osinski,197,04/2006,07/2010,19,8180,244982
VI,Visa,U.S. Bancorp,2707780855247291,Alberto Schamberger,806,07/2016,11/2020,18,8187,253275
DC,Diners Club,Diners Club International,6011081641265230510,Chauncey Dietrich,5686,08/2007,04/2011,1,2390,318147
UP,UnionPay,Wells Fargo,3052656838832146649,Jose Rutherford,550,01/2012,12/2016,4,5559,891581
JC,JCB,Japan Credit Bureau,3894179987843880,Harley Konopelski,674,01/2017,06/2020,24,1953,711295
VI,Visa,Chase,631301072476185902,Gus Schuppe,616,05/2017,08/2021,14,8330,333892
JC,JCB,Japan Credit Bureau,6011246073301056,Kane Braun,759,11/2006,05/2010,8,2322,906438
MT,Maestro,Barclays,3002954651810095058,Marcia Halvorson,305,06/2019,08/2022,7,6101,286630
MC,Mastercard,GE Capital,3528709582853251609,Rosetta Zboncak,648,11/2011,10/2016,4,7858,426636
DS,Discover,Discover,50669856788840,Talon Gutkowski,810,11/2000,02/2004,22,6959,21775
EO,Elo,Barclays,6277806753929135,Theodore Bernier,448,07/2013,09/2017,16,7880,618208
DS,Discover,Discover,6062828684255124,Kailyn Huel,830,02/2016,01/2020,17,9720,425295
HR,Hiper,Capital One,4724205510621180,Myrtie Schaefer,205,03/2011,10/2014,21,3086,137673
DC,Diners Club,Diners Club International,564955952625229,Crawford Pouros,393,11/2014,06/2019,27,4003,539949
UP,UnionPay,Barclays,358978447691432788,Margaretta Little,317,02/2008,09/2011,4,2376,389707
DC,Diners Club,Diners Club International,2221029373067675,Orville White,790,05/2005,03/2010,23,8537,556015
MT,Maestro,Barclays,62184528913897,Camille McDermott,110,02/2011,01/2015,23,7777,570893
HC,Hipercard,Wells Fargo,62201091439140,Eladio Bins,398,03/2002,02/2006,22,5661,634170
HC,Hipercard,Chase,6509017413329811,Felton Wilderman,190,11/2007,11/2012,21,3970,871252
DS,Discover,Discover,5613753333002600,Lottie Cummerata,353,05/2016,03/2021,12,8791,222921
UP,UnionPay,Bank of America,6491019120087143418,Lionel Prohaska,834,08/2016,05/2020,20,2514,2779
MC,Mastercard,Capital One,6593657328322695,Alverta Stehr,790,04/2013,11/2016,11,7440,386519
HC,Hipercard,U.S. Bancorp,344594274112157,Doris Wisozk,599,06/2001,03/2005,16,9892,11668
AX,American Express,American Express,2701966563784446,Leola Kirlin,467,02/2013,06/2017,23,8331,459400
MT,Maestro,Capital One,6550217308326074,Johnnie Prosacco,968,07/2000,01/2004,14,5859,927352
VI,Visa,Chase,5569646755451954,Quinton Lakin,637,11/2003,06/2008,25,2098,358138
HC,Hipercard,GE Capital,508999875792509,Cathrine Johnston,280,03/2002,10/2005,5,9925,542509
VI,Visa,GE Capital,3528489095839496,Cassandre Paucek,931,04/2006,10/2010,24,7975,660442
HR,Hiper,GE Capital,6011448993607080469,Camden Anderson,435,11/2005,03/2009,15,9169,469804
HR,Hiper,Barclays,5067797308565738,Novella Christiansen,340,09/2012,09/2016,12,1305,37224
HR,Hiper,Barclays,6062825185421759,Chloe Hoppe,457,09/2011,12/2014,13,8752,856439
HR,Hiper,Bank of America,4574583798432640,Eric Beahan,311,08/2011,05/2016,3,5741,303435
DC,Diners Club,Diners Club International,340487845060647,Rafaela Raynor,538,03/2007,04/2011,14,7030,533669
MT,Maestro,GE Capital,6500315439505532,Bianka Gutkowski,3822,10/2003,03/2007,4,7324,739041
HC,Hipercard,GE Capital,373119341691324,Coleman Bogisich,352,08/2005,01/2009,26,9181,663727
JC,JCB,Japan Credit Bureau,38056671444691,Jolie Stoltenberg,9727,01/2002,10/2006,21,5804,289045
DS,Discover,Discover,6062821233889691,Darrin Olson,768,04/2019,11/2023,25,1927,566617
VI,Visa,Bank of America,2701287347510357,Eduardo Krajcik,812,08/2015,07/2019,23,3647,920030
DC,Diners Club,Diners Club International,371924108290109,Dorothea Torphy,155,01/2002,01/2005,27,2336,503467
HR,Hiper,Barclays,4725129443872729,Icie Gaylord,275,09/2015,01/2019,20,6143,102135
HR,Hiper,Wells Fargo,2348590329178211,Leone Nicolas,5678,09/2004,01/2008,6,8917,105069
DS,Discover,Discover,3874732351925419191,Johanna Hammes,410,04/2014,05/2018,1,8077,166980
AX,American Express,American Express,4331067453410749,Kendrick Stracke,709,01/2005,12/2008,9,2162,144045
HR,Hiper,Chase,6362973759010678,Fausto Powlowski,350,11/2010,10/2015,25,3950,205482
DC,Diners Club,Diners Club International,6062824072075893,Joy Thiel,462,05/2012,10/2015,7,2110,286701
AX,American Express,American Express,8131449908019247,Broderick Skiles,113,10/2011,04/2015,22,8601,939889
AX,American Express,American Express,621851773202516949,Edd Kirlin,6009,12/2001,09/2005,3,3529,54429
HR,Hiper,GE Capital,81645641705063651,Jeffery Rolfson,331,06/2019,11/2023,11,8100,304708
MT,Maestro,GE Capital,627781028409105232,Jordane Wolff,580,06/2013,06/2017,13,7835,518813
UP,UnionPay,Barclays,5191739264080871,Hassie Nader,872,10/2002,06/2007,18,7171,832883
EO,Elo,Wells Fargo,62187815491030,Kianna Emard,808,09/2008,07/2013,20,4683,199174
EO,Elo,Chase,6509015478568729,Gracie Vandervort,441,09/2003,07/2008,14,7631,560832
VI,Visa,Chase,6507274750335545,Alyson Mante,635,03/2015,11/2019,6,8012,657144
DC,Diners Club,Diners Club International,3905212024572707637,Reta Treutel,731,05/2005,01/2009,20,7726,256210
MT,Maestro,Bank of America,358983478787614057,Hadley Gibson,480,12/2011,07/2016,8,4391,817855
MT,Maestro,Bank of America,6500518391116343,Erling Hackett,955,08/2011,10/2015,6,5610,295569
UP,UnionPay,Chase,50899973015336,Genoveva Hilpert,460,08/2011,12/2015,4,8267,563342
MT,Maestro,GE Capital,6062828304668508,Omari Nader,643,03/2000,10/2003,16,4769,675382
HC,Hipercard,Barclays,345513687201257,Irma Mills,872,12/2010,05/2015,27,9892,413323
MC,Mastercard,Bank of America,4961670673191556,Ressie Schulist,117,06/2001,12/2005,19,8285,242098
HR,Hiper,Barclays,6062823242918818,Dangelo Collins,233,10/2002,03/2007,10,3828,654249
UP,UnionPay,U.S. Bancorp,6376121359110738,Lucienne Prosacco,321,09/2003,09/2007,1,9884,322520
DC,Diners Club,Diners Club International,4799742540722570,Merritt Braun,313,05/2019,09/2022,27,5444,515541
EO,Elo,Wells Fargo,62910069789084,Tate Bogan,416,08/2018,12/2021,5,3986,384635
DS,Discover,Discover,6011076846081838,Alysson Friesen,273,08/2001,04/2006,15,8574,824374
HR,Hiper,Bank of America,3050695541193758864,Rosetta Ebert,712,12/2006,06/2011,17,1177,995015
EO,Elo,Wells Fargo,6375687546659457,Anahi Hodkiewicz,170,04/2003,05/2006,21,7945,451863
MT,Maestro,Chase,6375996680285114,Hosea Glover,771,09/2017,06/2021,3,6939,671538
HR,Hiper,Wells Fargo,6062827897909238,Lou Parisian,722,11/2003,12/2007,22,4290,639397
MT,Maestro,Barclays,6376097325739208,Alexis Greenfelder,367,07/2016,12/2019,13,9983,618027
MC,Mastercard,Chase,4696917358356562,Bernita Nicolas,131,01/2011,06/2015,26,5860,824494
MT,Maestro,Wells Fargo,6062828537078400,Ali Crona,2986,05/2000,06/2004,14,5688,400816
MT,Maestro,Wells Fargo,4146809922838413,Riley Bayer,433,09/2019,09/2024,25,8814,645091
HR,Hiper,GE Capital,2229108306827355,Gregory Fay,355,05/2011,03/2015,24,1549,600241
UP,UnionPay,U.S. Bancorp,6375995702527974,Kara Welch,822,09/2008,11/2012,16,3620,763792
MC,Mastercard,GE Capital,370319571724059,Francisca Wolff,127,06/2010,01/2015,6,7880,404564
VI,Visa,Wells Fargo,375287003376076,Chasity Parker,144,02/2018,11/2021,9,1135,588428
MT,Maestro,Wells Fargo,342701924286214,Jovany Abernathy,150,08/2001,02/2005,16,3494,976751
MT,Maestro,Barclays,50669855241619,Jaiden Abernathy,903,06/2011,11/2015,14,8149,953144
JC,JCB,Japan Credit Bureau,81641698920892,Cordia Ritchie,534,09/2001,03/2005,4,8850,78727
JC,JCB,Japan Credit Bureau,379584680819204,Walter Mayert,226,10/2014,10/2017,27,2862,197781
HR,Hiper,Barclays,4762222161129515,Amalia Corwin,236,01/2000,03/2004,11,1586,205201
AX,American Express,American Express,39468862945098,Michale Welch,548,04/2008,10/2012,25,3478,181032
HC,Hipercard,GE Capital,4312746247056149,Demetris Roob,628,12/2000,03/2005,18,3441,215388
UP,UnionPay,Wells Fargo,30012687607282,Terence Crooks,637,04/2002,10/2005,4,2963,47597
EO,Elo,Chase,2706972424962952,Zaria McClure,290,04/2000,09/2003,15,7432,285263
DS,Discover,Discover,3006099495747903266,Olen Corwin,262,11/2016,12/2020,25,8384,284242
MC,Mastercard,U.S. Bancorp,35286480232192885,Alf Gottlieb,178,07/2001,02/2005,22,3997,386470
MC,Mastercard,U.S. Bancorp,5067795127733275725,Heidi Breitenberg,577,01/2011,01/2015,21,7260,289631
HR,Hiper,Chase,8110937071802782688,Amy Mann,621,04/2012,04/2017,9,2179,152272
JC,JCB,Japan Credit Bureau,6062828610971737,Candida Larkin,9012,06/2011,05/2016,6,8115,875502
EO,Elo,Bank of America,5129436420154073,Teresa Crist,5740,07/2015,03/2020,7,9646,282644
UP,UnionPay,GE Capital,62650166261351987,Maynard Rowe,472,09/2015,12/2018,26,2582,996536
VI,Visa,Wells Fargo,4529204178481034,Catalina Christiansen,299,05/2020,03/2025,2,2472,752826
DS,Discover,Discover,4191610094734735,Ena Schneider,114,05/2018,09/2022,25,1428,726942
VI,Visa,Capital One,59477442369373208,Antonio Glover,160,07/2004,01/2009,5,1238,281280
DS,Discover,Discover,6376125951535309,Annabelle Torphy,691,06/2005,03/2009,22,1188,482628
DC,Diners Club,Diners Club International,3003178429107324,Misael Connelly,455,03/2017,09/2020,11,9207,556446
HR,Hiper,Wells Fargo,6062828816766758,Cleve Medhurst,498,08/2009,02/2014,15,2072,904360
DS,Discover,Discover,62182725804414,Geovanny Corkery,599,10/2019,10/2023,24,3091,274818
AX,American Express,American Express,6362979207883897,Dagmar Simonis,623,04/2016,04/2021,12,8361,730615
MC,Mastercard,GE Capital,6062824139615863,Nikita Bechtelar,596,04/2006,03/2011,19,7590,827244
AX,American Express,American Express,6571527621317580620,Tiffany Connelly,1591,05/2010,11/2014,6,6163,901299
AX,American Express,American Express,6062822990658253,Daphnee Russel,463,10/2004,06/2008,10,2597,686567
UP,UnionPay,Barclays,816471779587887,Jarrett Rau,566,04/2008,11/2011,8,3618,917122
DC,Diners Club,Diners Club International,627799138641998,Henry Kunze,247,07/2001,01/2006,8,3216,934599
UP,UnionPay,Barclays,2700490627147871,Dallin Halvorson,452,08/2000,08/2004,20,8888,79216
AX,American Express,American Express,373662607481062,Edd Mills,361,04/2011,11/2014,2,8972,357509
MT,Maestro,U.S. Bancorp,3058143382078155,Delilah Shields,487,12/2000,07/2004,4,9022,925679
DC,Diners Club,Diners Club International,377943300734205,Russel Kerluke,262,05/2019,03/2023,7,5329,859355
MT,Maestro,Capital One,6062823652099778,Donnell Rosenbaum,701,06/2004,01/2008,22,8754,674142
AX,American Express,American Express,342149152263838,Meda Wisozk,447,02/2010,11/2013,26,7823,911309
MT,Maestro,U.S. Bancorp,2303337568639864,Solon Frami,703,10/2002,09/2007,5,3822,287502
VI,Visa,U.S. Bancorp,4766727493338291,Cecil Dicki,882,12/2007,08/2012,18,7772,502216
HC,Hipercard,Bank of America,506698273583088,Ali DuBuque,590,12/2002,01/2007,8,7602,865201
HR,Hiper,Bank of America,6492970535353722,Everett Rohan,777,01/2009,11/2013,23,7008,485630
UP,UnionPay,U.S. Bancorp,62197285942951534,Riley Stracke,839,06/2015,08/2018,16,8285,707807
DC,Diners Club,Diners Club International,4604856740901621,Beau Bode,7658,02/2009,08/2013,21,4050,809233
HR,Hiper,Barclays,6370956954380079,Nash Torphy,767,12/2006,09/2011,24,4218,782266
DS,Discover,Discover,6370954198659697,Margarett Predovic,102,10/2017,12/2020,22,9078,92988
VI,Visa,U.S. Bancorp,4573932305863857,Shanon Paucek,246,02/2015,01/2020,4,2068,675924
EO,Elo,Capital One,4568883872940304,Kailey King,991,12/2008,08/2012,17,4812,373534
HC,Hipercard,Capital One,2293781817457929,Urban Kreiger,492,12/2005,12/2009,14,7213,449602
VI,Visa,Bank of America,6375999120081416,Jack Weber,306,03/2010,04/2014,23,2708,727120
DC,Diners Club,Diners Club International,6500310313588688,Orlo Lakin,216,02/2000,01/2004,21,9917,88442
VI,Visa,Bank of America,4417782269515468,Kevon Langosh,560,10/2013,06/2018,14,4027,399100
MC,Mastercard,Bank of America,3892265552620878,Carter Emmerich,569,09/2015,03/2019,7,2549,490069
MC,Mastercard,GE Capital,3842981381328969,Lorenz Koss,153,01/2006,07/2009,9,4825,594261
HC,Hipercard,U.S. Bancorp,6062820508863779,Magali Parker,708,02/2005,10/2008,26,7452,434889
DS,Discover,Discover,36713696767108,Kylie Bailey,1338,10/2010,08/2014,26,8992,153355
MC,Mastercard,Barclays,4980409189010688,Owen Abernathy,3255,01/2005,08/2009,12,1675,659679
UP,UnionPay,Bank of America,6062824313646718,Franco Mueller,177,07/2008,11/2012,5,2845,628683
DC,Diners Club,Diners Club International,36664680041077,Herta Ullrich,895,09/2016,02/2021,19,2604,367521
UP,UnionPay,Chase,6062829310900232,Caleigh Rodriguez,132,08/2020,02/2025,13,3831,330375
DC,Diners Club,Diners Club International,18006307359575201,Maci Nitzsche,897,05/2008,04/2012,17,4959,287616
MT,Maestro,Barclays,346001241349373,Glennie Hermiston,716,03/2017,02/2021,24,9067,474900
UP,UnionPay,Bank of America,3812981046953124,Chyna Torphy,426,05/2000,01/2004,15,5691,953143
