Card_Type_Code,Card_Type_Full_Name,Issuing_Bank,Card_Number,Card_Holders_Name,CVV_CVV2,Issue_Date,Expiry_Date,Billing_Date,Card_PIN,Credit_Limit
UP,UnionPay,Bank of America,2221719712419948,Amalia McKenzie,190,10/2010,10/2014,2,8389,835701
HC,Hipercard,Bank of America,2221107850360100,Roscoe Rosenbaum,774,11/2020,04/2025,13,9906,926423
JC,JCB,Japan Credit Bureau,4573931637684056,Mollie Nitzsche,564,11/2008,03/2012,18,1131,878032
AX,American Express,American Express,376015208204135,Sofia Hermann,445,04/2014,07/2018,25,5822,22240
UP,UnionPay,GE Capital,3059137790267292,Kaley Kerluke,553,09/2015,01/2019,24,6004,488055
DS,Discover,Discover,50677971695618,Christian Cartwright,354,03/2000,01/2005,9,4366,122470
AX,American Express,American Express,3656793505735492816,Weldon Goyette,676,12/2000,04/2005,7,2708,336975
DS,Discover,Discover,2336706015580866,Roma Murphy,203,01/2005,09/2009,11,9637,315740
DS,Discover,Discover,6504050517708262,Elmo Parisian,269,05/2015,04/2020,26,5417,466985
EO,Elo,GE Capital,2702453766000994,Garfield Harber,898,07/2000,09/2003,26,9616,872939
VI,Visa,Bank of America,5041756602966860,Alivia Hand,659,09/2009,10/2012,15,4888,297142
JC,JCB,Japan Credit Bureau,6375686317244762,Leo Barrows,843,09/2008,05/2012,14,6320,577725
VI,Visa,GE Capital,213159506982545349,Rashawn Donnelly,342,08/2006,02/2011,20,4448,868734
DS,Discover,Discover,5090009346401780,Roscoe OReilly,726,12/2006,02/2011,24,5937,562182
VI,Visa,Wells Fargo,3008026671217628047,Vivian Kuhn,310,05/2020,01/2025,17,3467,622912
HR,Hiper,U.S. Bancorp,340392706084670,Nicholas Denesik,897,08/2017,03/2021,11,2359,260244
DS,Discover,Discover,2717478481490348,Vaughn Deckow,125,05/2006,01/2011,14,1730,341184
JC,JCB,Japan Credit Bureau,6011441235850948,Ellen Mayer,813,09/2004,04/2008,11,5698,704396
DS,Discover,Discover,6509015991238859,Eve Gulgowski,238,06/2016,10/2019,25,3629,570049
HC,Hipercard,Bank of America,6515779293044529,Coleman Lueilwitz,390,01/2011,11/2014,19,3827,170569
MC,Mastercard,GE Capital,62725251603608,Aurelio Dietrich,819,11/2012,02/2016,24,2599,520697
AX,American Express,American Express,352852584548568952,Marjory Tromp,310,10/2011,10/2015,17,9685,189813
HR,Hiper,GE Capital,35890511166232061,Roosevelt Jerde,251,11/2007,08/2012,8,5064,720837
JC,JCB,Japan Credit Bureau,6550192095721490,Brant Collier,852,02/2005,01/2010,25,8171,506639
JC,JCB,Japan Credit Bureau,6500359085326900,Rupert Feest,2285,05/2016,10/2019,22,7513,813724
VI,Visa,Capital One,5930065611159309,Mortimer Klocko,735,03/2002,06/2005,7,9798,771023
HR,Hiper,Wells Fargo,6504053699332679,Erin Nader,424,10/2011,08/2016,6,3332,984930
JC,JCB,Japan Credit Bureau,5570264585006993,Lily Mills,776,01/2019,01/2023,1,5220,24450
EO,Elo,U.S. Bancorp,6062829129623462,Gaylord Wuckert,229,07/2019,06/2023,26,6918,445913
MC,Mastercard,GE Capital,5066989282231558,Patsy Durgan,720,05/2014,03/2019,11,6523,470742
UP,UnionPay,Bank of America,508999417647,Joyce Kiehn,213,04/2009,08/2013,23,8114,238137
JC,JCB,Japan Credit Bureau,6062821143104025,Korey Hickle,986,09/2003,06/2007,10,1341,406754
DS,Discover,Discover,3528078451514288,Loren Brakus,412,07/2013,04/2018,19,5384,125129
MC,Mastercard,Wells Fargo,3002273295289417395,Corrine Gerhold,292,08/2008,12/2011,13,9727,467354
AX,American Express,American Express,6375687169916960,Edgar Tremblay,730,09/2008,08/2012,3,2871,741989
MC,Mastercard,Chase,6292608863108223979,Fannie Dicki,145,05/2014,08/2017,6,9297,855222
MC,Mastercard,Wells Fargo,49369830651679401,Raul Rosenbaum,105,12/2019,05/2024,17,2282,9012
MC,Mastercard,Wells Fargo,6375991962753509,Waylon Cassin,355,12/2018,01/2023,1,5954,349401
VI,Visa,Bank of America,2229306560174270,Clark Wolff,839,05/2018,08/2021,2,9011,929693
EO,Elo,U.S. Bancorp,6492301730719144736,Marilou Quigley,701,08/2018,03/2022,1,5573,892184
EO,Elo,Wells Fargo,343501117486699,Gabriella Sauer,610,04/2012,02/2017,10,4267,925863
MT,Maestro,Wells Fargo,6533293663239840,Boris Padberg,517,02/2009,05/2012,2,7200,274631
HR,Hiper,Capital One,506698657063111,Ebba Osinski,339,10/2009,10/2012,1,1288,268388
HR,Hiper,Chase,81040958370411382,Millie Langworth,507,11/2003,03/2007,17,9992,392570
VI,Visa,Wells Fargo,4518851870912832,Halie Lakin,931,01/2000,08/2003,9,2022,274935
MT,Maestro,Capital One,3528318946317552,Ezekiel Carroll,2439,04/2005,11/2009,9,2243,383225
HR,Hiper,Bank of America,6062820999472361,Aurore Kovacek,105,02/2010,07/2014,10,3095,93507
MC,Mastercard,Wells Fargo,18008243962605010,Carole Hodkiewicz,353,06/2007,04/2012,24,7143,486630
